Date and time,Mode,Distance,Duration,Price
2022-11-10 18:23,Bus,0.7,0.02,1.0
2022-08-01 21:28,Bus,0.9,0.03,1.0
2022-06-11 15:24,Bus,1.2,0.05,1.0
2022-11-02 09:36,Bus,1.9,0.09,1.0
2022-06-21 09:24,Bus,0.6,0.02,1.0
2022-12-13 22:51,Bus,2.0,0.08,1.0
2022-10-13 16:22,Bus,1.6,0.08,1.0
2022-08-17 09:13,Bus,1.4,0.06,1.0
2022-08-17 16:08,Bus,2.9,0.11,1.0
2022-03-29 17:18,Bus,1.3,0.05,1.0
2022-12-22 22:59,Bus,4.0,0.17,1.0
2022-02-17 16:31,Bus,1.6,0.08,1.0
2022-03-25 17:27,Bus,0.4,0.02,1.0
2022-03-10 19:08,Bus,0.5,0.02,1.0
2022-06-10 10:09,Bus,1.5,0.06,1.0
2022-12-12 09:14,Bus,1.4,0.04,1.0
2022-11-24 09:55,Bus,0.9,0.03,1.0
2022-10-17 16:38,Bus,0.7,0.04,1.0
2022-12-03 15:05,Bus,1.8,0.07,1.0
2022-04-03 15:43,Bus,0.3,0.01,1.0
2022-10-20 10:55,Bus,1.6,0.07,1.0
2022-05-15 22:56,Bus,0.3,0.01,1.0
2022-08-22 15:38,Bus,1.3,0.05,1.0
2022-07-18 10:06,Bus,2.2,0.07,1.0
2022-02-02 18:41,Bus,1.1,0.06,1.0
2022-01-13 18:31,Bus,1.2,0.04,1.0
2022-04-15 08:17,Bus,0.9,0.04,1.0
2022-06-04 13:05,Bus,2.2,0.07,1.0
2022-07-15 21:34,Bus,0.3,0.01,1.0
2022-12-13 17:46,Bus,1.8,0.08,1.0
2022-05-13 23:13,Bus,2.1,0.08,1.0
2022-11-26 14:45,Bus,0.7,0.03,1.0
2022-09-26 06:35,Bus,2.0,0.09,1.0
2022-11-07 17:53,Bus,4.9,0.19,1.0
2022-11-29 18:51,Bus,1.1,0.04,1.0
2022-05-06 08:34,Bus,1.1,0.07,1.0
2022-01-29 13:39,Bus,2.0,0.08,1.0
2022-10-29 12:44,Bus,1.9,0.09,1.0
2022-07-20 08:12,Bus,0.7,0.05,1.0
2022-03-04 12:36,Bus,2.5,0.1,1.0
2022-04-21 12:35,Bus,1.6,0.07,1.0
2022-08-05 17:04,Bus,1.4,0.04,1.0
2022-05-15 10:14,Bus,2.5,0.09,1.0
2022-08-29 20:15,Bus,1.2,0.05,1.0
2022-02-24 20:43,Bus,0.8,0.04,1.0
2022-10-20 08:36,Bus,1.2,0.06,1.0
2022-03-15 14:45,Bus,4.2,0.22,1.0
2022-12-07 10:26,Bus,1.9,0.08,1.0
2022-04-27 18:21,Bus,1.0,0.04,1.0
2022-12-27 14:30,Bus,1.4,0.06,1.0
2022-07-30 09:24,Bus,1.8,0.08,1.0
2022-01-08 16:17,Bus,1.0,0.04,1.0
2022-01-03 16:47,Bus,0.9,0.03,1.0
2022-09-30 21:58,Bus,0.7,0.04,1.0
2022-02-08 09:04,Bus,0.9,0.05,1.0
2022-08-26 19:55,Bus,0.4,0.01,1.0
2022-02-14 08:36,Bus,3.8,0.16,1.0
2022-03-17 19:02,Bus,0.9,0.04,1.0
2022-12-26 21:26,Bus,0.9,0.05,1.0
2022-07-24 11:13,Bus,0.4,0.01,1.0
2022-05-25 10:19,Bus,2.5,0.09,1.0
2022-01-31 07:11,Bus,1.7,0.06,1.0
2022-09-29 21:01,Bus,0.8,0.02,1.0
2022-03-29 10:00,Bus,1.8,0.09,1.0
2022-02-05 22:24,Bus,1.7,0.08,1.0
2022-08-11 22:18,Bus,1.8,0.06,1.0
2022-05-27 08:59,Bus,1.1,0.05,1.0
2022-03-02 20:27,Bus,0.6,0.03,1.0
2022-11-02 17:28,Bus,0.8,0.03,1.0
2022-04-08 20:36,Bus,0.8,0.03,1.0
2022-03-31 16:51,Bus,0.8,0.03,1.0
2022-11-09 21:22,Bus,0.8,0.03,1.0
2022-05-18 08:23,Bus,0.2,0.01,1.0
2022-04-14 21:32,Bus,1.4,0.07,1.0
2022-10-20 09:28,Bus,1.0,0.05,1.0
2022-03-15 08:16,Bus,1.0,0.03,1.0
2022-04-27 19:18,Bus,1.6,0.06,1.0
2022-02-01 07:48,Bus,0.7,0.03,1.0
2022-02-12 16:09,Bus,1.0,0.03,1.0
2022-08-25 19:56,Bus,1.4,0.05,1.0
2022-08-29 08:11,Bus,1.8,0.07,1.0
2022-09-01 13:36,Bus,1.4,0.07,1.0
2022-12-22 20:32,Bus,1.2,0.04,1.0
2022-11-18 20:44,Bus,0.7,0.03,1.0
2022-05-10 16:17,Bus,0.5,0.02,1.0
2022-01-03 23:42,Bus,1.8,0.1,1.0
2022-01-28 15:54,Bus,1.8,0.1,1.0
2022-11-19 22:11,Bus,0.7,0.04,1.0
2022-04-07 22:25,Bus,0.3,0.01,1.0
2022-09-06 11:19,Bus,0.7,0.03,1.0
2022-01-14 22:48,Bus,0.5,0.02,1.0
2022-10-10 09:09,Bus,0.9,0.04,1.0
2022-01-06 18:02,Bus,1.1,0.05,1.0
2022-06-25 13:55,Bus,1.1,0.05,1.0
2022-03-22 18:02,Bus,0.9,0.05,1.0
2022-10-15 20:19,Bus,3.1,0.1,1.0
2022-11-08 22:13,Bus,0.4,0.02,1.0
2022-06-07 09:30,Bus,1.6,0.09,1.0
2022-05-16 17:50,Bus,0.4,0.02,1.0
2022-08-05 11:23,Bus,2.4,0.1,1.0
2022-07-10 23:35,Bus,2.8,0.13,1.0
2022-05-10 09:08,Bus,1.2,0.05,1.0
2022-05-11 12:47,Bus,1.6,0.07,1.0
2022-02-03 14:52,Bus,1.5,0.08,1.0
2022-07-18 20:21,Bus,4.8,0.16,1.0
2022-11-19 13:38,Bus,1.3,0.05,1.0
2022-09-19 08:11,Bus,1.4,0.08,1.0
2022-10-19 06:32,Bus,0.6,0.03,1.0
2022-11-03 14:27,Bus,2.2,0.08,1.0
2022-05-30 08:15,Bus,2.8,0.15,1.0
2022-09-06 08:29,Bus,2.2,0.1,1.0
2022-04-11 15:59,Bus,1.8,0.09,1.0
2022-04-21 07:52,Bus,0.5,0.02,1.0
2022-11-13 15:03,Bus,0.7,0.03,1.0
2022-10-28 18:40,Bus,1.5,0.06,1.0
2022-05-15 07:46,Bus,0.6,0.03,1.0
2022-05-30 18:18,Bus,0.7,0.03,1.0
2022-12-17 12:13,Bus,0.4,0.02,1.0
2022-10-24 20:46,Bus,0.9,0.03,1.0
2022-09-10 16:49,Bus,0.9,0.04,1.0
2022-05-04 20:02,Bus,2.2,0.11,1.0
2022-07-07 18:07,Bus,1.4,0.05,1.0
2022-05-15 15:01,Bus,1.0,0.04,1.0
2022-04-29 16:11,Bus,1.1,0.06,1.0
2022-11-22 13:03,Bus,1.7,0.08,1.0
2022-01-04 09:49,Bus,1.7,0.07,1.0
2022-03-11 08:59,Bus,1.9,0.09,1.0
2022-07-26 22:47,Bus,0.4,0.01,1.0
2022-08-31 19:29,Bus,0.3,0.01,1.0
2022-03-19 14:29,Bus,0.9,0.04,1.0
2022-05-02 17:57,Bus,1.0,0.05,1.0
2022-02-17 08:23,Bus,0.4,0.04,1.0
2022-11-30 11:52,Bus,1.0,0.05,1.0
2022-04-11 13:23,Bus,1.8,0.06,1.0
2022-10-24 17:06,Bus,4.2,0.19,1.0
2022-09-05 07:46,Bus,1.0,0.05,1.0
2022-01-10 12:01,Bus,2.3,0.13,1.0
2022-07-01 21:02,Bus,0.7,0.03,1.0
2022-02-26 17:27,Bus,3.2,0.12,1.0
2022-04-21 18:24,Bus,1.5,0.05,1.0
2022-11-22 20:43,Bus,1.0,0.04,1.0
2022-02-16 14:33,Bus,0.9,0.03,1.0
2022-10-21 21:34,Bus,1.2,0.05,1.0
2022-12-17 12:14,Bus,2.1,0.1,1.0
2022-03-04 20:31,Bus,1.4,0.05,1.0
2022-06-29 21:57,Bus,3.7,0.12,1.0
2022-04-18 19:37,Bus,0.4,0.02,1.0
2022-07-06 23:09,Bus,3.4,0.13,1.0
2022-04-06 19:23,Bus,2.1,0.11,1.0
2022-07-09 14:21,Bus,2.2,0.1,1.0
2022-06-17 19:58,Bus,2.4,0.1,1.0
2022-05-05 06:27,Bus,1.7,0.06,1.0
2022-12-11 08:49,Bus,2.7,0.1,1.0
2022-02-18 07:15,Bus,0.6,0.02,1.0
2022-05-04 18:03,Bus,1.8,0.06,1.0
2022-04-30 20:12,Bus,0.6,0.02,1.0
2022-05-16 17:59,Bus,1.5,0.05,1.0
2022-09-19 19:59,Bus,1.8,0.07,1.0
2022-09-09 20:24,Bus,1.3,0.04,1.0
2022-09-02 10:26,Bus,0.3,0.01,1.0
2022-03-23 09:58,Bus,1.3,0.07,1.0
2022-01-29 21:25,Bus,0.7,0.03,1.0
2022-01-02 12:43,Bus,0.4,0.02,1.0
2022-07-03 16:23,Bus,2.0,0.07,1.0
2022-10-29 12:10,Bus,0.5,0.02,1.0
2022-02-02 10:29,Bus,0.8,0.03,1.0
2022-03-18 19:17,Bus,4.0,0.2,1.0
2022-05-06 21:00,Bus,2.1,0.08,1.0
2022-07-30 17:48,Bus,2.5,0.16,1.0
2022-07-15 20:19,Bus,2.9,0.12,1.0
2022-07-20 09:06,Bus,2.1,0.08,1.0
2022-12-02 20:39,Bus,3.1,0.13,1.0
2022-07-14 15:50,Bus,1.6,0.07,1.0
2022-09-03 12:37,Bus,0.9,0.03,1.0
2022-04-01 12:19,Bus,0.3,0.01,1.0
2022-12-01 10:13,Bus,0.4,0.02,1.0
2022-09-29 12:14,Bus,2.9,0.08,1.0
2022-06-21 08:56,Bus,1.5,0.07,1.0
2022-02-16 08:53,Bus,3.3,0.13,1.0
2022-02-20 20:10,Bus,1.5,0.06,1.0
2022-12-31 12:05,Bus,2.9,0.12,1.0
2022-12-28 19:53,Bus,0.6,0.03,1.0
2022-05-30 19:38,Bus,3.0,0.19,1.0
2022-09-10 09:41,Bus,5.3,0.21,1.0
2022-10-06 10:00,Bus,1.6,0.06,1.0
2022-05-20 15:15,Bus,0.9,0.03,1.0
2022-09-07 11:50,Bus,2.7,0.08,1.0
2022-08-23 10:45,Bus,0.7,0.02,1.0
2022-08-06 15:53,Bus,1.1,0.05,1.0
2022-08-21 12:56,Bus,1.2,0.04,1.0
2022-08-01 09:46,Bus,2.9,0.14,1.0
2022-02-01 13:53,Bus,2.4,0.09,1.0
2022-08-29 11:36,Bus,2.6,0.09,1.0
2022-08-02 11:30,Bus,0.9,0.04,1.0
2022-06-05 14:23,Bus,0.9,0.03,1.0
2022-11-15 22:10,Bus,0.6,0.02,1.0
2022-07-09 14:14,Bus,1.5,0.06,1.0
2022-04-04 22:44,Bus,1.1,0.07,1.0
2022-09-14 14:47,Bus,0.4,0.01,1.0
2022-03-15 20:57,Bus,1.1,0.05,1.0
2022-04-30 22:37,Bus,1.8,0.08,1.0
2022-06-04 19:50,Bus,2.8,0.1,1.0
2022-01-20 20:22,Bus,1.3,0.06,1.0
2022-11-23 16:54,Bus,0.8,0.04,1.0
2022-08-18 18:06,Bus,0.5,0.02,1.0
2022-10-27 18:11,Bus,2.8,0.1,1.0
2022-12-15 17:13,Bus,1.2,0.05,1.0
2022-04-23 20:12,Bus,3.3,0.17,1.0
2022-05-27 16:47,Bus,0.6,0.03,1.0
2022-03-20 10:26,Bus,1.3,0.05,1.0
2022-12-11 13:54,Bus,0.7,0.03,1.0
2022-03-04 22:04,Bus,1.4,0.06,1.0
2022-06-11 07:29,Bus,0.3,0.01,1.0
2022-11-03 18:34,Bus,1.0,0.05,1.0
2022-03-04 21:25,Bus,1.8,0.06,1.0
2022-05-28 15:02,Bus,1.0,0.05,1.0
2022-05-30 11:25,Bus,2.6,0.1,1.0
2022-03-01 10:55,Bus,2.2,0.12,1.0
2022-02-02 19:36,Bus,1.0,0.03,1.0
2022-09-03 20:34,Bus,1.0,0.04,1.0
2022-02-12 22:54,Bus,2.6,0.08,1.0
2022-10-24 19:18,Bus,1.8,0.06,1.0
2022-04-25 19:19,Bus,1.8,0.07,1.0
2022-01-05 13:57,Bus,1.1,0.04,1.0
2022-07-27 15:48,Bus,4.4,0.22,1.0
2022-08-03 19:00,Bus,2.2,0.08,1.0
2022-10-29 22:11,Bus,1.3,0.06,1.0
2022-03-11 21:49,Bus,0.8,0.03,1.0
2022-03-09 18:26,Bus,1.5,0.05,1.0
2022-06-24 21:32,Bus,0.9,0.03,1.0
2022-07-24 14:16,Bus,0.8,0.03,1.0
2022-03-19 06:20,Bus,1.5,0.06,1.0
2022-12-18 17:16,Bus,1.2,0.05,1.0
2022-06-13 17:43,Bus,1.4,0.05,1.0
2022-07-09 16:42,Bus,0.5,0.02,1.0
2022-04-29 07:52,Bus,0.8,0.03,1.0
2022-01-10 20:28,Bus,1.7,0.08,1.0
2022-02-09 08:18,Bus,2.5,0.13,1.0
2022-06-15 18:04,Bus,3.0,0.15,1.0
2022-12-21 20:19,Bus,1.3,0.04,1.0
2022-02-11 09:10,Bus,2.1,0.09,1.0
2022-01-18 15:13,Bus,0.5,0.02,1.0
2022-07-08 20:28,Bus,0.3,0.01,1.0
2022-05-04 16:44,Bus,0.7,0.03,1.0
2022-08-07 13:09,Bus,1.3,0.07,1.0
2022-12-29 18:52,Bus,0.4,0.02,1.0
2022-07-17 11:34,Bus,1.0,0.05,1.0
2022-04-12 18:50,Bus,1.6,0.08,1.0
2022-02-18 08:54,Bus,2.1,0.07,1.0
2022-12-08 21:30,Bus,1.2,0.04,1.0
2022-04-08 22:42,Bus,0.9,0.03,1.0
2022-04-09 08:29,Bus,0.5,0.03,1.0
2022-10-01 22:10,Bus,1.4,0.05,1.0
2022-06-17 19:35,Bus,0.6,0.02,1.0
2022-09-16 08:51,Bus,3.7,0.22,1.0
2022-02-03 14:19,Bus,0.5,0.02,1.0
2022-07-08 18:44,Bus,1.7,0.07,1.0
2022-10-28 09:31,Bus,2.1,0.11,1.0
2022-01-29 18:00,Bus,0.4,0.02,1.0
2022-02-11 17:55,Bus,0.9,0.04,1.0
2022-09-30 19:18,Bus,0.8,0.03,1.0
2022-03-18 08:56,Bus,1.0,0.04,1.0
2022-06-24 16:44,Bus,0.8,0.03,1.0
2022-05-03 19:38,Bus,2.5,0.08,1.0
2022-07-29 18:39,Bus,0.7,0.04,1.0
2022-08-11 21:01,Bus,3.1,0.11,1.0
2022-10-12 15:09,Bus,0.5,0.02,1.0
2022-05-21 17:34,Bus,2.4,0.08,1.0
2022-06-25 09:17,Bus,1.1,0.04,1.0
2022-10-10 13:02,Bus,1.4,0.05,1.0
2022-11-08 17:49,Bus,2.6,0.09,1.0
2022-01-29 19:35,Bus,3.0,0.1,1.0
2022-09-30 20:36,Bus,1.3,0.06,1.0
2022-08-05 13:05,Bus,2.1,0.11,1.0
2022-09-22 17:35,Bus,1.3,0.09,1.0
2022-09-19 13:33,Bus,0.8,0.03,1.0
2022-03-06 18:28,Bus,2.1,0.09,1.0
2022-02-17 10:23,Bus,2.7,0.11,1.0
2022-04-21 16:21,Bus,1.3,0.06,1.0
2022-06-08 10:03,Bus,1.4,0.05,1.0
2022-08-12 22:32,Bus,0.4,0.01,1.0
2022-01-05 07:50,Bus,1.8,0.07,1.0
2022-04-19 17:49,Bus,0.9,0.04,1.0
2022-02-15 10:57,Bus,3.2,0.13,1.0
2022-05-25 18:40,Bus,1.0,0.05,1.0
2022-09-29 21:51,Bus,1.7,0.07,1.0
2022-09-13 09:41,Bus,1.8,0.07,1.0
2022-04-11 09:54,Bus,0.7,0.04,1.0
2022-05-23 19:43,Bus,0.6,0.02,1.0
2022-02-05 14:14,Bus,1.5,0.06,1.0
2022-11-24 15:56,Bus,1.9,0.06,1.0
2022-06-01 18:21,Bus,1.6,0.07,1.0
2022-08-26 19:45,Bus,0.4,0.01,1.0
2022-09-09 13:27,Bus,0.9,0.05,1.0
2022-12-21 21:55,Bus,0.9,0.05,1.0
2022-10-07 21:09,Bus,1.8,0.08,1.0
2022-10-13 19:00,Bus,1.2,0.03,1.0
2022-10-21 22:45,Bus,0.8,0.03,1.0
2022-09-01 19:13,Bus,1.2,0.05,1.0
2022-07-17 11:06,Bus,1.6,0.05,1.0
2022-09-24 20:48,Bus,2.3,0.08,1.0
2022-01-21 17:42,Bus,0.7,0.02,1.0
2022-07-13 20:13,Bus,0.6,0.02,1.0
2022-03-28 07:42,Bus,1.1,0.05,1.0
2022-02-22 20:53,Bus,1.7,0.07,1.0
2022-03-17 16:09,Bus,1.1,0.05,1.0
2022-01-13 21:09,Bus,4.1,0.17,1.0
2022-12-08 10:13,Bus,0.6,0.02,1.0
2022-07-31 16:49,Bus,2.1,0.1,1.0
2022-04-28 18:06,Bus,1.3,0.06,1.0
2022-08-11 10:30,Bus,0.3,0.01,1.0
2022-04-11 18:16,Bus,0.8,0.03,1.0
2022-09-26 11:00,Bus,2.0,0.07,1.0
2022-06-21 17:18,Bus,1.1,0.05,1.0
2022-07-27 16:32,Bus,1.3,0.06,1.0
2022-10-19 17:40,Bus,0.6,0.02,1.0
2022-10-06 11:54,Bus,1.4,0.09,1.0
2022-10-01 14:41,Bus,0.7,0.04,1.0
2022-08-15 08:53,Bus,1.0,0.05,1.0
2022-08-03 13:37,Bus,0.5,0.02,1.0
2022-05-24 18:36,Bus,2.1,0.08,1.0
2022-03-05 14:26,Bus,1.5,0.07,1.0
2022-09-06 21:27,Bus,3.3,0.12,1.0
2022-02-25 21:26,Bus,2.9,0.12,1.0
2022-10-02 14:16,Bus,4.4,0.18,1.0
2022-02-12 07:48,Bus,1.1,0.04,1.0
2022-01-03 23:06,Bus,0.8,0.02,1.0
2022-05-21 20:14,Bus,1.0,0.04,1.0
2022-02-10 11:19,Bus,2.9,0.1,1.0
2022-09-08 17:57,Bus,1.1,0.06,1.0
2022-06-25 13:42,Bus,0.8,0.03,1.0
2022-11-29 19:06,Bus,4.1,0.17,1.0
2022-06-21 16:14,Bus,1.7,0.07,1.0
2022-03-04 10:47,Bus,0.5,0.02,1.0
2022-01-16 14:13,Bus,0.9,0.04,1.0
2022-07-23 07:16,Bus,0.9,0.03,1.0
2022-05-31 19:10,Bus,0.9,0.03,1.0
2022-11-04 11:42,Bus,0.3,0.01,1.0
2022-03-02 09:56,Bus,1.5,0.06,1.0
2022-08-17 17:06,Bus,1.5,0.06,1.0
2022-01-01 16:34,Bus,1.0,0.04,1.0
2022-09-09 20:13,Bus,1.0,0.04,1.0
2022-07-09 21:29,Bus,0.8,0.03,1.0
2022-05-27 13:09,Bus,1.5,0.06,1.0
2022-08-25 14:48,Bus,0.8,0.03,1.0
2022-04-14 20:45,Bus,0.5,0.02,1.0
2022-12-19 16:55,Bus,0.6,0.03,1.0
2022-02-02 16:29,Bus,3.5,0.17,1.0
2022-01-27 09:50,Bus,1.4,0.06,1.0
2022-04-04 16:37,Bus,0.4,0.01,1.0
2022-01-05 18:16,Bus,3.1,0.12,1.0
2022-05-05 20:31,Bus,2.0,0.08,1.0
2022-09-23 18:48,Bus,1.1,0.04,1.0
2022-08-19 09:18,Bus,2.6,0.13,1.0
2022-07-25 23:47,Bus,1.0,0.04,1.0
2022-04-23 23:36,Bus,1.8,0.08,1.0
2022-06-24 21:04,Bus,2.8,0.09,1.0
2022-01-20 13:33,Bus,0.7,0.03,1.0
2022-02-21 16:51,Bus,1.3,0.06,1.0
2022-09-14 12:06,Bus,2.2,0.07,1.0
2022-05-04 19:44,Bus,0.9,0.04,1.0
2022-05-12 08:40,Bus,0.5,0.02,1.0
2022-01-28 09:41,Bus,1.9,0.07,1.0
2022-01-07 23:12,Bus,1.0,0.04,1.0
2022-07-29 18:55,Bus,0.4,0.01,1.0
2022-12-27 23:39,Bus,3.4,0.13,1.0
2022-12-27 18:06,Bus,1.1,0.05,1.0
2022-03-18 20:12,Bus,0.5,0.02,1.0
2022-06-04 14:40,Bus,1.1,0.04,1.0
2022-03-08 20:44,Bus,2.3,0.09,1.0
2022-06-11 19:36,Bus,2.4,0.13,1.0
2022-12-10 14:26,Bus,1.1,0.03,1.0
2022-02-08 17:29,Bus,2.0,0.07,1.0
2022-07-29 18:25,Bus,1.9,0.06,1.0
2022-08-15 07:34,Bus,1.1,0.05,1.0
2022-07-03 14:16,Bus,0.5,0.03,1.0
2022-12-22 13:39,Bus,1.1,0.05,1.0
2022-03-07 10:25,Bus,0.3,0.01,1.0
2022-06-10 21:08,Bus,1.7,0.05,1.0
2022-02-26 14:01,Bus,2.9,0.18,1.0
2022-06-03 09:57,Bus,1.1,0.04,1.0
2022-10-01 18:59,Bus,1.4,0.06,1.0
2022-10-07 16:56,Bus,0.9,0.04,1.0
2022-08-25 07:37,Bus,0.5,0.02,1.0
2022-04-27 07:26,Bus,2.4,0.1,1.0
2022-06-13 09:08,Bus,1.5,0.05,1.0
2022-02-24 15:49,Bus,0.7,0.03,1.0
2022-07-03 13:31,Bus,3.0,0.12,1.0
2022-07-02 11:24,Bus,0.5,0.02,1.0
2022-11-28 12:31,Bus,1.3,0.04,1.0
2022-10-22 13:24,Bus,0.7,0.02,1.0
2022-05-26 18:08,Bus,2.9,0.13,1.0
2022-07-14 13:01,Bus,0.6,0.02,1.0
2022-09-01 09:50,Bus,0.6,0.03,1.0
2022-09-19 12:48,Bus,1.7,0.08,1.0
2022-10-21 12:05,Bus,1.7,0.07,1.0
2022-07-08 21:38,Bus,6.8,0.22,1.0
2022-02-05 20:50,Bus,1.4,0.06,1.0
2022-04-18 08:06,Bus,1.7,0.07,1.0
2022-01-20 18:59,Bus,0.4,0.01,1.0
2022-12-08 17:16,Bus,0.9,0.04,1.0
2022-04-29 13:40,Bus,1.1,0.03,1.0
2022-06-29 20:36,Bus,3.5,0.19,1.0
2022-10-14 09:03,Bus,0.5,0.02,1.0
2022-12-17 19:27,Bus,3.1,0.12,1.0
2022-01-18 15:21,Bus,1.3,0.06,1.0
2022-04-06 16:55,Bus,3.3,0.13,1.0
2022-06-21 20:55,Bus,0.3,0.01,1.0
2022-08-02 17:45,Bus,1.8,0.07,1.0
2022-03-02 10:33,Bus,1.1,0.05,1.0
2022-02-17 07:06,Bus,1.6,0.06,1.0
2022-06-02 12:14,Bus,1.3,0.05,1.0
2022-02-07 23:24,Bus,0.9,0.03,1.0
2022-12-22 12:56,Bus,0.9,0.04,1.0
